vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
-0.039000,0.061000,-1.069000,0.007060,-0.003650,-179.046907,0.000000,0.000000,0.009434,0.000049,0.000050,0.003685,2025-10-22 18:20:31.916,47
-0.027700,0.060000,0.569000,0.007000,0.011900,179.158971,0.000458,0.000775,0.008307,0.000000,0.000000,0.007141,2025-10-22 18:20:39.374,47
-0.040200,0.061000,-1.129000,0.007100,-0.003810,-179.017243,0.000400,0.000000,0.009434,0.000000,0.000030,0.007552,2025-10-22 18:20:43.565,47
-0.026000,0.060300,0.566000,0.007100,0.012680,179.168859,0.000000,0.000458,0.004899,0.000000,0.000040,0.009209,2025-10-22 18:20:49.769,47
