vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
1.696967,-0.119233,-1.484667,-0.028997,0.027883,-88.618061,0.000482,0.000423,0.010562,0.000018,0.000037,0.021740,2025-10-24 09:36:34.630,47
1.689800,-0.117267,-7.840333,-0.037323,0.028203,-82.190680,0.000400,0.000442,0.013536,0.000042,0.000018,0.015880,2025-10-24 09:36:59.778,39
1.680600,-0.113400,-17.715000,-0.047900,0.029547,-72.367321,0.000490,0.000879,0.008062,0.000000,0.000050,0.020619,2025-10-24 09:37:16.177,39
1.676467,-0.109833,-31.375667,-0.055747,0.031027,-58.730857,0.000499,0.000373,0.007157,0.000056,0.000063,0.039971,2025-10-24 09:37:30.830,39
1.695800,-0.127100,-48.859000,-0.039300,0.008503,-41.224342,0.000748,0.000597,0.014911,0.000052,0.000041,0.023206,2025-10-24 09:38:00.265,47
1.691067,-0.134200,0.701333,-0.035300,0.012467,-90.820338,0.000573,0.000980,0.016479,0.000000,0.000047,0.013537,2025-10-24 09:38:22.375,47
1.705133,-0.133000,1.255667,-0.019900,0.012500,-91.466536,0.000340,0.000894,0.018918,0.000000,0.000000,0.007334,2025-10-24 09:38:37.951,47
1.709633,-0.128100,-41.515667,-0.021193,0.007600,-48.703879,0.000948,0.000597,0.018918,0.000025,0.000000,0.010614,2025-10-24 09:38:46.367,47
1.717900,-0.129233,-87.633000,-0.029893,0.001573,-2.657491,0.001075,0.000667,0.017916,0.000025,0.000044,0.010772,2025-10-24 09:38:54.155,47
1.724133,-0.141467,-123.818333,-0.036297,-0.008000,33.258095,0.000957,0.000499,0.022522,0.000018,0.000000,0.013225,2025-10-24 09:39:05.077,47
1.715733,-0.159133,-179.579667,-0.054400,-0.008270,88.924406,0.000442,0.000618,0.013287,0.000000,0.000046,0.025655,2025-10-24 09:39:19.663,39
1.788200,-0.157933,178.968667,0.025947,-0.008010,90.741417,0.000653,0.001236,0.043030,0.000050,0.000030,0.009696,2025-10-24 09:39:32.666,47
1.772000,-0.156467,144.112333,0.013370,0.002600,125.601367,0.000516,0.000718,0.010546,0.000046,0.000000,0.009337,2025-10-24 09:39:51.476,47
1.745067,-0.154867,92.847333,0.003863,0.013127,176.726524,0.000573,0.000340,0.023514,0.000048,0.000044,0.013777,2025-10-24 09:40:12.067,47
1.737867,-0.139233,52.267333,0.010947,0.021200,-142.743858,0.000618,0.000667,0.015261,0.000050,0.000000,0.009613,2025-10-24 09:40:20.978,47
1.735867,-0.127467,-2.369333,0.014000,0.017800,-88.026063,0.000340,0.000718,0.017114,0.000000,0.000000,0.006032,2025-10-24 09:40:32.495,47
1.735800,-0.133667,24.770000,0.013500,0.019607,-115.159642,0.000542,0.000789,0.012111,0.000000,0.000025,0.009272,2025-10-24 09:40:43.384,47
1.749000,-0.131633,71.667333,0.017517,0.035507,-162.197577,0.000000,0.000482,0.012092,0.000037,0.000025,0.015726,2025-10-24 09:40:52.162,47
1.759267,-0.117200,103.378333,0.015363,0.053333,166.023499,0.000680,0.000748,0.025701,0.000048,0.000047,0.015980,2025-10-24 09:41:00.478,39
1.800133,-0.131933,140.595667,0.046130,0.030960,129.081027,0.000618,0.000998,0.014302,0.000053,0.000049,0.037971,2025-10-24 09:41:22.885,39
1.800167,-0.151033,-176.453000,0.039403,-0.001190,86.321848,0.000637,0.001329,0.016563,0.000018,0.000030,0.013525,2025-10-24 09:41:54.105,47
1.793467,-0.149333,-166.115667,0.031953,-0.002907,75.963622,0.000499,0.000596,0.015206,0.000050,0.000025,0.015166,2025-10-24 09:42:05.884,47
1.773800,-0.153733,-165.989667,0.009110,-0.008300,75.712027,0.000400,0.000680,0.010483,0.000030,0.000000,0.005802,2025-10-24 09:42:15.488,47
1.751867,-0.153167,-140.206667,-0.011690,-0.016993,49.779656,0.000340,0.000934,0.017951,0.000030,0.000025,0.011530,2025-10-24 09:42:26.179,47
1.733133,-0.156000,-86.379000,-0.013217,-0.029103,-4.123478,0.000618,0.000516,0.008699,0.000037,0.000018,0.008449,2025-10-24 09:42:36.080,47
1.730067,-0.116067,-85.442333,-0.015400,0.014943,-4.787622,0.000573,0.000680,0.010225,0.000000,0.000050,0.007990,2025-10-24 09:42:44.197,47
1.725400,-0.115500,-64.585000,-0.013803,0.017103,-25.570727,0.000490,0.000500,0.008466,0.000018,0.000018,0.006301,2025-10-24 09:42:51.391,47
1.718000,-0.114500,-47.590667,-0.014753,0.021667,-42.471877,0.000683,0.000500,0.016720,0.000050,0.000047,0.014306,2025-10-24 09:42:59.379,47
1.715133,-0.120667,-0.266000,-0.008600,0.027000,-89.919797,0.000340,0.000471,0.028589,0.000000,0.000000,0.012065,2025-10-24 09:43:07.793,47
1.730867,-0.120433,0.026333,0.008080,0.026800,-90.331065,0.000427,0.000496,0.023732,0.000040,0.000000,0.008707,2025-10-24 09:43:27.791,47
1.760200,-0.120467,1.577000,0.041097,0.027180,-92.093142,0.000653,0.000499,0.012949,0.000018,0.000040,0.012505,2025-10-24 09:43:35.381,39
1.719600,-0.120267,0.183333,-0.003100,0.026500,-90.411451,0.000490,0.000680,0.008300,0.000000,0.000000,0.007846,2025-10-24 09:43:44.290,47
1.681800,-0.120867,1.383000,-0.046100,0.027073,-91.539598,0.000400,0.000340,0.006904,0.000037,0.000051,0.023465,2025-10-24 09:43:50.990,39
1.708000,-0.121567,1.996000,-0.016133,0.027303,-92.171148,0.000258,0.000496,0.009866,0.000047,0.000018,0.009075,2025-10-24 09:43:58.678,47
1.729733,-0.147733,90.736000,-0.011660,0.020700,178.796411,0.000680,0.000442,0.022745,0.000049,0.000000,0.011726,2025-10-24 09:44:10.394,47
1.730333,-0.171800,92.258000,-0.011473,-0.006913,177.423261,0.000699,0.000542,0.022862,0.000044,0.000034,0.006172,2025-10-24 09:44:18.379,47
1.715267,-0.154267,0.098000,-0.009300,-0.010243,-90.407605,0.000442,0.000442,0.008327,0.000000,0.000050,0.006523,2025-10-24 09:45:03.590,47
1.724467,-0.151667,-87.451333,-0.021870,-0.023200,-2.985076,0.001204,0.000471,0.018571,0.000046,0.000000,0.007585,2025-10-24 09:48:47.659,47
1.742067,-0.131533,-0.772000,0.020000,0.014597,-89.568407,0.000442,0.001087,0.017963,0.000000,0.000018,0.007496,2025-10-24 10:00:42.340,47
1.715000,-0.129133,-1.499000,-0.008700,0.015900,-88.773339,0.000516,0.000340,0.006506,0.000000,0.000000,0.005916,2025-10-24 10:01:03.757,47
1.709133,-0.130600,1.795000,-0.015987,0.016400,-91.986755,0.000340,0.000712,0.018753,0.000034,0.000000,0.009091,2025-10-24 10:01:19.333,47
1.718767,-0.131067,-89.608333,-0.029687,-0.001800,-0.773461,0.001146,0.000772,0.020669,0.000034,0.000000,0.008557,2025-10-24 10:01:35.041,47
1.724067,-0.153533,-178.109333,-0.045910,-0.004910,87.425459,0.000772,0.000884,0.015902,0.000030,0.000030,0.014119,2025-10-24 10:01:50.056,39
1.691700,-0.171667,93.818333,-0.057017,-0.004410,175.936033,0.000458,0.000471,0.015510,0.000045,0.000040,0.027845,2025-10-24 10:02:28.930,39
1.694700,-0.214400,93.453667,-0.054400,-0.053193,176.465041,0.000458,0.000490,0.009123,0.000058,0.000036,0.036570,2025-10-24 10:02:57.442,39
1.694633,-0.214733,93.467000,-0.054477,-0.053080,176.520341,0.000482,0.000814,0.007371,0.000050,0.000040,0.030111,2025-10-24 10:03:00.974,39
1.676533,-0.197200,2.566333,-0.053470,-0.056773,-92.615192,0.000499,0.000748,0.015808,0.000059,0.000051,0.036896,2025-10-24 10:03:10.939,39
1.704867,-0.196033,2.279667,-0.020913,-0.055400,-92.494156,0.000618,0.000407,0.013287,0.000034,0.000026,0.017757,2025-10-24 10:03:18.628,39
1.697533,-0.127200,3.355333,-0.027900,0.020520,-93.566820,0.000499,0.000748,0.004989,0.000000,0.000040,0.010652,2025-10-24 10:03:46.744,47
1.734967,-0.124733,4.387333,0.013643,0.023040,-94.752464,0.000482,0.000442,0.004422,0.000050,0.000049,0.007018,2025-10-24 10:03:54.434,47
