vloc_x,vloc_y,vloc_yaw,gls_x,gls_y,gls_yaw,vloc_stddev_x,vloc_stddev_y,vloc_stddev_yaw,gls_stddev_x,gls_stddev_y,gls_stddev_yaw,timestamp,status
-0.009800,0.007400,0.218000,0.001900,-0.001800,-90.531755,0.000400,0.000490,0.007483,0.000000,0.000000,0.003517,2025-10-29 12:50:32.906,47
-0.005300,0.008000,0.274000,0.006980,-0.001880,-90.577349,0.000458,0.000000,0.018000,0.000040,0.000040,0.004395,2025-10-29 12:50:42.574,47
-0.000300,0.007000,0.422000,0.012200,-0.001800,-90.784997,0.000458,0.000000,0.012490,0.000000,0.000000,0.007035,2025-10-29 12:50:47.788,47
0.008400,0.007600,0.554000,0.022400,-0.001800,-90.963530,0.000800,0.000800,0.027641,0.000000,0.000000,0.005735,2025-10-29 12:50:51.485,47
0.018000,0.008000,0.612000,0.033840,-0.001710,-91.128330,0.000000,0.000000,0.022271,0.000092,0.000030,0.016379,2025-10-29 12:50:55.873,47
0.029800,0.007000,0.894000,0.045950,-0.001600,-91.446394,0.000400,0.000000,0.012806,0.000067,0.000000,0.016072,2025-10-29 12:51:00.263,39
-0.004600,0.008200,-0.538000,0.007990,-0.001900,-89.781365,0.000490,0.000400,0.007483,0.000030,0.000000,0.004290,2025-10-29 12:51:04.685,47
-0.031200,0.007600,-0.398000,-0.022000,-0.001300,-89.769829,0.000400,0.000490,0.009798,0.000000,0.000000,0.004395,2025-10-29 12:51:08.282,47
-0.041000,0.007200,0.034000,-0.034000,-0.001000,-90.124149,0.000894,0.000748,0.028000,0.000000,0.000000,0.008668,2025-10-29 12:51:12.671,47
-0.054400,0.007000,1.090000,-0.049000,-0.000700,-91.109104,0.000490,0.000000,0.000000,0.000045,0.000045,0.044302,2025-10-29 12:51:17.488,39
-0.044200,0.007000,0.609000,-0.037730,-0.000800,-90.692160,0.000400,0.000000,0.019723,0.000046,0.000000,0.012824,2025-10-29 12:51:20.360,47
-0.041900,0.007600,0.507000,-0.034490,-0.000820,-90.649861,0.000831,0.000917,0.032573,0.000030,0.000040,0.008789,2025-10-29 12:51:25.081,47
-0.034000,0.008000,0.041000,-0.025490,-0.000900,-90.181280,0.000775,0.000000,0.013748,0.000030,0.000000,0.008942,2025-10-29 12:51:27.885,47
-0.027800,0.008000,-0.208000,-0.018710,-0.000990,-89.953856,0.001536,0.000447,0.015362,0.000030,0.000030,0.006239,2025-10-29 12:51:31.282,47
-0.026700,0.008400,-0.372000,-0.016710,-0.001000,-89.804987,0.000458,0.000490,0.010770,0.000030,0.000000,0.005493,2025-10-29 12:51:35.869,47
-0.014000,0.008000,0.496000,-0.002590,-0.001100,-90.763573,0.000000,0.000000,0.024980,0.000030,0.000000,0.005065,2025-10-29 12:51:43.888,47
0.002600,0.014000,-88.731000,-0.012800,-0.011600,-1.595813,0.000490,0.000000,0.028089,0.000000,0.000000,0.005629,2025-10-29 12:51:59.960,47
0.007800,-0.019600,-69.741000,0.001040,-0.053380,-20.680746,0.000980,0.001200,0.020224,0.000102,0.000223,0.030689,2025-10-29 12:52:22.267,39
0.016300,0.023500,-93.196000,0.000700,-0.002390,2.865322,0.000640,0.000500,0.030397,0.000000,0.000094,0.007035,2025-10-29 12:52:36.491,47
0.016200,0.023700,-93.068000,0.000710,-0.002220,2.747215,0.001249,0.000458,0.016000,0.000030,0.000125,0.007141,2025-10-29 12:52:44.179,47
0.014900,0.002300,-92.818000,-0.000500,-0.026500,2.359935,0.001136,0.000640,0.012490,0.000000,0.000000,0.005035,2025-10-29 12:52:50.087,47
0.014000,-0.005200,-93.008000,-0.001120,-0.035400,2.564287,0.000894,0.000400,0.014697,0.000040,0.000000,0.012234,2025-10-29 12:52:54.574,47
0.013600,-0.008100,-93.195000,-0.001300,-0.037930,2.751061,0.001625,0.000300,0.006708,0.000000,0.000046,0.012718,2025-10-29 12:53:02.099,47
0.014800,-0.014600,-93.810000,-0.001750,-0.045130,3.271279,0.000748,0.000490,0.000000,0.000050,0.000046,0.012345,2025-10-29 12:53:07.577,39
0.015600,-0.008200,-93.931000,-0.001200,-0.038420,3.367412,0.000490,0.000748,0.018138,0.000000,0.000040,0.010708,2025-10-29 12:53:13.187,47
0.014400,-0.003700,-94.235000,-0.000900,-0.032700,3.705802,0.001281,0.000640,0.020616,0.000000,0.000000,0.008581,2025-10-29 12:53:18.499,47
0.017000,0.006200,-94.810000,-0.000120,-0.021800,4.371044,0.000894,0.000400,0.010954,0.000040,0.000000,0.009209,2025-10-29 12:53:21.370,47
0.016300,0.006800,-94.774000,0.000000,-0.020400,4.341380,0.001100,0.000600,0.004899,0.000000,0.000000,0.004290,2025-10-29 12:53:25.562,47
0.017500,0.013400,-94.768000,0.000490,-0.013660,4.346324,0.000500,0.000490,0.036551,0.000030,0.000162,0.013854,2025-10-29 12:53:28.366,47
0.016700,0.015200,-94.805000,0.000690,-0.011510,4.394665,0.000640,0.000600,0.031064,0.000030,0.000094,0.011782,2025-10-29 12:53:32.362,47
0.017700,0.010100,-94.394000,0.000300,-0.016390,3.969481,0.001005,0.000300,0.011136,0.000000,0.000030,0.005035,2025-10-29 12:53:35.561,47
0.018400,0.036900,-95.780000,0.002900,0.013580,5.568590,0.000917,0.000831,0.000000,0.000000,0.000040,0.005521,2025-10-29 12:53:39.488,47
0.021200,0.052200,-96.712000,0.004760,0.030700,6.609577,0.001833,0.000748,0.029257,0.000049,0.000000,0.010365,2025-10-29 12:53:47.869,47
0.023600,0.067300,-97.534000,0.006740,0.047310,7.402814,0.000917,0.001187,0.016248,0.000049,0.000030,0.032238,2025-10-29 12:53:54.667,39
0.018600,0.041600,-97.204000,0.003000,0.019110,7.073763,0.001200,0.000490,0.022450,0.000000,0.000030,0.007788,2025-10-29 12:54:03.775,47
0.021500,0.043900,-102.611000,0.003030,0.022640,12.473159,0.001500,0.000300,0.003000,0.000046,0.000049,0.009258,2025-10-29 12:54:13.279,47
0.026700,0.047300,-108.615000,0.002700,0.024490,18.421339,0.000900,0.000640,0.015000,0.000000,0.000030,0.005602,2025-10-29 12:54:16.481,47
0.026000,0.044100,-116.612000,0.001500,0.024400,26.470717,0.000000,0.000300,0.009798,0.000000,0.000000,0.009209,2025-10-29 12:54:20.771,47
0.024200,0.040000,-124.949000,-0.000890,0.022600,34.783227,0.000872,0.000894,0.015133,0.000030,0.000000,0.010552,2025-10-29 12:54:25.093,47
0.024000,0.035600,-133.648000,-0.004850,0.019720,43.492904,0.000894,0.000490,0.031875,0.000050,0.000040,0.019219,2025-10-29 12:54:30.571,47
0.019700,0.030500,-144.088000,-0.013100,0.014860,53.829157,0.001187,0.001285,0.018330,0.000000,0.000049,0.008148,2025-10-29 12:54:35.686,47
0.008200,0.022900,-153.957000,-0.023400,0.010600,63.634754,0.001887,0.001136,0.014177,0.000000,0.000000,0.008148,2025-10-29 12:54:40.570,47
0.000000,0.016300,-164.626000,-0.037100,0.007400,74.159429,0.000000,0.000458,0.004899,0.000000,0.000000,0.013777,2025-10-29 12:54:45.982,47
-0.014300,0.007400,-176.847000,-0.052840,0.006600,86.270028,0.000458,0.000490,0.004583,0.000049,0.000000,0.015586,2025-10-29 12:54:49.975,39
0.009400,0.009600,-177.467000,-0.028290,0.007850,86.996796,0.000490,0.000490,0.011000,0.000030,0.000050,0.004789,2025-10-29 12:55:04.694,47
0.003800,0.008600,177.842000,-0.031910,0.008400,91.676016,0.000748,0.000490,0.027495,0.000030,0.000000,0.013046,2025-10-29 12:55:09.678,47
